Pretty_formula,¦Ìe(10^3 cm^2/(V¡¤s)),x,y,¦Ìh(10^3 cm^2/(V¡¤s)),x,y,source
B1N1P2,151.2005291,0.4,151.2,6.160982065,0.11,6.16,DOI: 10.1103/PhysRevMaterials.4.114004
B1N1P2,12.04791268,5.89,10.51,16.78859136,15.82,5.62,DOI: 10.1103/PhysRevMaterials.4.114004
B1N1P2,8.295426451,0.3,8.29,5.675958069,5.67,0.26,DOI: 10.1103/PhysRevMaterials.4.114004
B1N1P2,17.18229903,0.65,17.17,1.053233118,1.03,0.22,DOI: 10.1103/PhysRevMaterials.4.114004
C2Si1S1,16.26099628,4.38,15.66,4.850010309,0.01,4.85,DOI: 10.1103/PhysRevMaterials.4.114004
C2Si1S1,1.692394753,1.69,0.09,0.49244289,0.2,0.45,DOI: 10.1103/PhysRevMaterials.4.114004
Hf1Ge1Te4,1.838477631,1.7,0.7,0.76216796,0.6,0.47,DOI: 10.1103/PhysRevMaterials.5.014005
Hf1Si1Te4,3.461444785,3.1,1.54,0.912359578,0.4,0.82,DOI: 10.1103/PhysRevMaterials.5.014005
Zr1Ge1Te4,1.64195006,1.36,0.92,0.60876925,0.41,0.45,DOI: 10.1103/PhysRevMaterials.5.014005
Zr1Si1Te4,5.827417953,5.58,1.68,0.715891053,0.3,0.65,DOI: 10.1103/PhysRevMaterials.5.014005
Ti1Si1Te4,9.997199608,9.92,1.24,0.585234996,0.32,0.49,DOI: 10.1103/PhysRevMaterials.5.014005
Ti1Ge1Te4,3.124739989,2.98,0.94,0.454532727,0.29,0.35,DOI: 10.1103/PhysRevMaterials.5.014005
Cd1In1Ga1S4,7.01,NA,NA,0.91,NA,NA,DOI: 10.1016/j.jallcom.2020.157220
As2S3,0.296816442,0.25,0.16,0.014142136,0.01,0.01,DOI: 10.1016/j.apsusc.2020.148665
Ge1S1,10.75941448,4.55,9.75,0.281602557,0.27,0.08,DOI: 10.1103/PhysRevMaterials.5.054005
Ge1S1,0.643816744,0.64,0.07,0.144222051,0.08,0.12,DOI: 10.1103/PhysRevMaterials.5.054005
Pd1S1Se1,0.053851648,0.02,0.05,1.054229577,0.83,0.65,DOI: 10.1039/d1tc01245b
Pd1S1Se1,0.014142136,0.01,0.01,2.682685222,2.52,0.92,DOI: 10.1039/d1tc01245b
Pd4S3Se3,0.613269924,0.56,0.25,18.00033611,0.11,18,DOI: 10.1021/acs.chemmater.1c00812
Pd4S3Te3,6.106267272,1.08,6.01,1.155724881,1.14,0.19,DOI: 10.1021/acs.chemmater.1c00812
Pd4Se3Te3,10.16880032,3.73,9.46,0.072801099,0.02,0.07,DOI: 10.1021/acs.chemmater.1c00812
Co1H3,0.031622777,0.01,0.03,0.63007936,0.01,0.63,DOI: 10.1039/d1cp01834e
Rh1H3,0.01,0,0.01,0.251793566,0.03,0.25,DOI: 10.1039/d1cp01834e
Ir1H3,0.067082039,0.03,0.06,0.120415946,0.08,0.09,DOI: 10.1039/d1cp01834e
Sb2Te2Se1,4.950252519,3.45,3.55,0.266270539,0.15,0.22,DOI: 10.1021/acsomega.1c02746
Sb2Te1Se2,3.917779984,2.81,2.73,0.849705831,0.38,0.76,DOI: 10.1021/acsomega.1c02746
B2C1O1,0.01,0,0.01,0.291547595,0.03,0.29,DOI: 10.1002/jcc.26735
B2C1O1,0.161554944,0.06,0.15,0.036055513,0.03,0.02,DOI: 10.1002/jcc.26735
P3S1,11.05387262,1.09,11,2.937107421,0.71,2.85,DOI: 10.1021/acs.jpclett.1c02363
B1P1,85.03421488,49.96,68.81,29.4328473,13.7,26.05,DOI: 10.1039/c6nr02923j
B1As1,69.86735146,39.28,57.78,36.60516357,16.92,32.46,DOI: 10.1039/c6nr02923j
B1Sb1,453.0655336,321.04,319.69,133.7579134,58.37,120.35,DOI: 10.1039/c6nr02923j
P1,0.659469484,0.5,0.43,7.686253964,0.31,7.68,DOI: 10.1021/acs.nanolett.5b05068
P1,0.69584481,0.69,0.09,2.375394704,2.37,0.16,DOI: 10.1103/PhysRevB.94.235306
B1C2N1,22.9899565,22.3,5.59,7.670436754,7.66,0.4,DOI: 10.1021/jz502006z
Ge1C1H3,3.744889852,3.71,0.51,7.118553224,7.07,0.83,DOI: 10.1021/acs.jpclett.5b01848
Sn1Se1,2.403934275,1.17,2.1,1.004191217,0.7,0.72,DOI: 10.1039/c6tc04692d
Sn1S2,0.76,NA,NA,0.18,NA,NA,DOI: 10.1039/c7cp03748a
Sn1Se2,0.46,NA,NA,0.12,NA,NA,DOI: 10.1039/c7cp03748a
F1Ga1N1H1,0.41677332,0.36,0.21,0.281780056,0.25,0.13,DOI: 10.1039/c7cp04117a
H1Ga1N1H1,0.304795013,0.2,0.23,0.01,0.01,0,DOI: 10.1039/c7cp04117a
B1N1C1,24.90629639,0.56,24.9,62.77365371,62.7,3.04,DOI: 10.1088/1361-648X/aa8d9b
B1N1C2,0.067082039,0.03,0.06,1.86024192,0.03,1.86,DOI: 10.1088/1361-648X/aa8d9b
B1N1C3,0.266833281,0.26,0.06,0.781856764,0.73,0.28,DOI: 10.1088/1361-648X/aa8d9b
B1N1C3,4.28122646,0.83,4.2,6.195643631,5.66,2.52,DOI: 10.1088/1361-648X/aa8d9b
B1N1C4,1980.010506,1980,6.45,970.0014897,1.7,970,DOI: 10.1088/1361-648X/aa8d9b
Ge1S1,16.90960969,0.57,16.9,0.125299641,0.11,0.06,DOI: 10.1103/PhysRevB.96.245421
Ge1Se1,4.720190674,0.31,4.71,0.328937684,0.11,0.31,DOI: 10.1103/PhysRevB.96.245421
Sn1S1,1.084066419,0.54,0.94,2.310367936,1.93,1.27,DOI: 10.1103/PhysRevB.96.245421
Sn1Se1,10.56659832,7.63,7.31,0.729177619,0.54,0.49,DOI: 10.1103/PhysRevB.96.245421
Ge1Se1,29.301244,0.27,29.3,0.295465734,0.12,0.27,DOI: 10.1103/PhysRevB.96.245421
P1N1,290.8323938,290.83,1.18,0.221359436,0.21,0.07,DOI: 10.1021/acs.jpcc.7b09650
Sc3C1N1F2,1.387407655,1.35,0.32,1.386217876,0.96,1,DOI: 10.1039/c8ra03424a
Si5,170.0029412,1,170,13.00240362,13,0.25,DOI: 10.1039/c7nr08172c
As2C3,445,NA,NA,1.36,NA,NA,DOI: 10.1039/c8tc04165b
Sb2C3,40.1,NA,NA,0.72,NA,NA,DOI: 10.1039/c8tc04165b
Bi2C3,7.57,NA,NA,0.186,NA,NA,DOI: 10.1039/c8tc04165b
As1B1,27.7,NA,NA,9.04,NA,NA,DOI: 10.1039/c9cp03385h
As1,1.04,NA,NA,0.05,NA,NA,DOI: 10.1039/c9cp03385h
H1Pt1P2,1.984363878,1.16,1.61,2.018365675,0.97,1.77,DOI: 10.1039/c9tc03479j
Ca3Sn2S7,66.99,NA,NA,17.71,NA,NA,DOI: 10.1002/adma.201905643
Mg1Al2Se4,0.990050504,0.69,0.71,0.148660687,0.11,0.1,DOI: 10.1039/c9nr07529a
Mg1Ga2Se4,1.428355698,1.01,1.01,0.230867928,0.22,0.07,DOI: 10.1039/c9nr07529a
In1Se1,1.343502884,0.95,0.95,NA,NA,NA,DOI: 10.1088/1361-648X/ab534f
Ge3P2,104.5911779,104.51,4.12,1.420563269,1.42,0.04,DOI: 10.1016/j.apsusc.2019.143803
Ge3P2,63.45727697,8.54,62.88,0.35383612,0.24,0.26,DOI: 10.1016/j.apsusc.2019.143803
Ge1P1,154.8203733,154.82,0.34,19.16021138,19.16,0.09,DOI: 10.1002/adma.201706771
In1Te1I1,12.14000412,12.14,0.01,0.072111026,0.06,0.04,DOI: 10.1039/c9nr10619g
H1As2,1.341640786,1.2,0.6,38.00063684,0.22,38,DOI: 10.1021/acs.jpcc.0c02043
H1Sb2,1.115212984,0.86,0.71,3.020347662,0.35,3,DOI: 10.1021/acs.jpcc.0c02043
H1Bi2,113.7585162,29,110,171.8284028,25,170,DOI: 10.1021/acs.jpcc.0c02043
Si1As1,1.287866453,1.25,0.31,1.185959527,0.39,1.12,DOI: 10.1021/acs.jpclett.0c03656
Ge1As1,2.652036953,2.38,1.17,0.617170965,0.28,0.55,DOI: 10.1021/acs.jpclett.0c03656
Ir1S1F1,0.740607858,0.03,0.74,21.4504289,1.47,21.4,DOI: 10.1021/acs.jpclett.1c01086
Ir1S1Cl1,0.978621479,0.36,0.91,16.30757186,1.87,16.2,DOI: 10.1021/acs.jpclett.1c01086
Ir1S1Br1,1.068877916,0.47,0.96,9.200912998,0.62,9.18,DOI: 10.1021/acs.jpclett.1c01086
Ir1S1I1,1.34380058,0.97,0.93,4.194627516,0.35,4.18,DOI: 10.1021/acs.jpclett.1c01086
Ge1Te1,0.886002257,0.53,0.71,0.254558441,0.18,0.18,DOI: 10.1016/j.apsusc.2020.148009
Ca1As3,0.01,NA,NA,12.1,NA,NA,DOI: 10.1021/acs.jpclett.9b00033
Nb2Se9,1.933416665,1.91,0.3,0.042426407,0.03,0.03,DOI: 10.1021/acsomega.1c03728
C7N6,3.224530974,2.26,2.3,0.91214034,0.56,0.72,DOI: 10.1103/PhysRevMaterials.4.064001
Si1P2,102.1402369,102.14,0.22,9.673138064,0.8,9.64,DOI:10.1016/j.mtener.2019.100377
Si1P2,2.131384527,2.12,0.22,9.640005187,0.01,9.64,DOI:10.1016/j.mtener.2019.100377
Si1As2,131.8801672,0.21,131.88,7.995648817,0.5,7.98,DOI:10.1016/j.mtener.2019.100377
Si1As2,131.8804383,0.34,131.88,7.980056391,0.03,7.98,DOI:10.1016/j.mtener.2019.100377
Bi2Se3,3.387107911,2.38,2.41,1.3337541,0.1,1.33,DOI: 10.1039/d0cp00729c
Bi2Se2Te1,3.551957207,2.42,2.6,0.328024389,0.2,0.26,DOI: 10.1039/d0cp00729c
Bi2Se1Te2,3.762472591,2.61,2.71,0.442944692,0.39,0.21,DOI: 10.1039/d0cp00729c
Bi2Te3,0.080622577,0.08,0.01,0.05,0.03,0.04,DOI: 10.1039/d0cp00729c
B1S1,11.903,NA,NA,11.979,NA,NA,DOI:10.1039/D0SE00004C
B1S1,11.651,NA,NA,6.863,NA,NA,DOI:10.1039/D0SE00004C
B1Se1,0.753,NA,NA,21.449,NA,NA,DOI:10.1039/D0SE00004C
B1Se1,0.25,NA,NA,0.168,NA,NA,DOI:10.1039/D0SE00004C
B1Te1,0.783,NA,NA,3.198,NA,NA,DOI:10.1039/D0SE00004C
B1Te1,0.415,NA,NA,5.053,NA,NA,DOI:10.1039/D0SE00004C
Sn1P3,0.056,NA,NA,0.811,NA,NA,DOI:10.1063/5.0003241
Cu2S1,12.6,NA,NA,8.780022779,0.02,8.78,DOI:10.1021/acs.jpclett.0c00613
Cu2Se1,47.8,NA,NA,9.510757068,0.12,9.51,DOI:10.1021/acs.jpclett.0c00613
Ag2S1,2.93,NA,NA,0.540092585,0.01,0.54,DOI:10.1021/acs.jpclett.0c00613
Ag2Se1,3.33,NA,NA,0.410121933,0.01,0.41,DOI:10.1021/acs.jpclett.0c00613
Au2S1,30.6,NA,NA,2.41,NA,NA,DOI:10.1021/acs.jpclett.0c00613
Au2Se1,23.4,NA,NA,2.58,NA,NA,DOI:10.1021/acs.jpclett.0c00613
Se1,3.392992779,2.6,2.18,1.167261753,0.85,0.8,DOI: 10.1039/d0cp00511h
Te1,2.999233235,2.45,1.73,1.312097557,1.04,0.8,DOI: 10.1039/d0cp00511h
As2S3,2.94516553,1.08,2.74,0.058309519,0.03,0.05,DOI: 10.1039/c9tc05904k
As2Se3,3.468832657,0.78,3.38,0.085440037,0.03,0.08,DOI: 10.1039/c9tc05904k
As2Te3,0.567274184,0.43,0.37,0.240831892,0.18,0.16,DOI: 10.1039/c9tc05904k
P1C6N1,0.05,0.04,0.03,13.70000365,13.7,0.01,DOI: 10.1021/acs.jpcc.0c00494
Al1P3,3.766974914,0.45,3.74,23.84722206,16.2,17.5,DOI:10.1088/1361-648X/ab4d13
Al1P3,101.5037438,101,10.1,4.9979996,4.78,1.46,DOI:10.1088/1361-648X/ab4d13
B1P3,48.41389883,1.16,48.4,8.513829925,2.18,8.23,DOI:?10.1039/c7tc02346d
Ca1P3,19.97679904,19.9,1.75,0.784091831,0.08,0.78,DOI: 10.1021/acs.jpclett.8b00595
In1P3,1.282729901,1.23,0.364,0.936677106,0.89,0.292,DOI: 10.1039/c9ta08612a
Ge1P3,0.080622577,0.07,0.04,0.190262976,0.19,0.01,DOI:10.1021/acs.nanolett.6b05143
Bi1P3,24.95199591,24.9,1.61,147.0186233,2.34,147,DOI:10.1016/j.apsusc.2019.144263
Bi1P3,1.173882447,1.08,0.46,272.2149886,249,110,DOI:10.1016/j.apsusc.2019.144263
Sb1P3,11.91007976,11.6,2.7,1.051189802,0.95,0.45,DOI:10.1016/j.ijhydene.2019.01.106
Ga1P3,0.50447993,0.39,0.32,0.031622777,0.01,0.03,DOI:10.1016/j.ijhydene.2019.01.106
Mg1P3,0.680661443,0.12,0.67,0.315753068,0.06,0.31,DOI:10.1016/j.physe.2021.114960
Ge1Se1,0.174,NA,NA,0.158,NA,NA,DOI:10.1021/acs.jpcc.9b09787
Sn1Se1,0.155,NA,NA,0.149,NA,NA,DOI:10.1021/acs.jpcc.9b09787
Pb1Se1,0.153,NA,NA,0.118,NA,NA,DOI:10.1021/acs.jpcc.9b09787
S1N2,2.507149776,1.67,1.87,0.245153013,0.24,0.05,DOI: 10.1039/c9nr07263b
Bi2Te1Se2,3.337678834,2.51,2.2,1.680476123,1.32,1.04,DOI: 10.1039/c9nr05725k
Sn1Sb2Te4,5.322715472,3.37,4.12,1.20420098,1.1,0.49,DOI: 10.1103/PhysRevApplied.11.064045
Rh1Te1Cl1,15.03396488,1.01,15,0.09,0,0.09,DOI: 10.1039/c9nr07684k
Sb2Te2Se1,1.662437969,1.14,1.21,0.667607669,0.64,0.19,DOI: 10.1021/acsami.9b10682
Sb2Te1Se2,2.188264152,1.63,1.46,0.21023796,0.21,0.01,DOI: 10.1021/acsami.9b10682
Sb2Te1Se2,1.569777054,1.11,1.11,0.228035085,0.22,0.06,DOI: 10.1021/acsami.9b10682
Sn1P2S6,0.17,0.08,0.15,0.16643317,0.14,0.09,DOI: 10.1039/c9cp04143e
Ni1Se2,1.777245059,1.69,0.55,0.113137085,0.08,0.08,DOI: 10.1021/acsami.9b09223
Ge2P4S2,19.82084004,12.24,15.59,4.200761836,0.08,4.2,DOI:10.1016/j.ijhydene.2019.06.068
Ge2As4S2,4.891155283,2.03,4.45,45.68381004,0.59,45.68,DOI:10.1016/j.ijhydene.2019.06.068
As1P1,76.51803774,17.5,74.49,2.606549443,0.54,2.55,DOI: 10.1039/c9nr01261c
Pd1Se2,0.740067564,0.74,0.01,0.04,0,0.04,DOI: 10.1039/c8tc06050a
P1C6,294.0169818,294,3.16,165.864523,24.8,164,DOI: 10.1021/jacs.8b11350
Si1P1,0.333016516,0.25,0.22,2.870052264,2.86,0.24,DOI:10.1088/2053-1591/AAF211
Tl1P5,14.91104289,5.24,13.96,7.709325522,7.56,1.51,DOI: 10.1039/c8tc05164j
Sn1Te1,1.386001443,1.11,0.83,1.478512766,1.36,0.58,DOI: 10.1103/PhysRevMaterials.3.013405
Sn1Se1,1.094805919,0.85,0.69,1.405275774,1.28,0.58,DOI: 10.1103/PhysRevMaterials.3.013405
Sn1S1,1.006578363,0.76,0.66,1.307402004,1.22,0.47,DOI: 10.1103/PhysRevMaterials.3.013405
Si1As1,0.852760224,0.66,0.54,3.911521443,3.9,0.3,DOI:10.1186/s11671-018-2809-6
Si1As2,0.278567766,0.26,0.1,0.662872537,0.13,0.65,DOI:10.1186/s11671-018-2809-6
K1Ag1Se1,6.257,NA,NA,3.280060975,3.28,0.02,DOI: 10.1021/acsami.8b16505
Cr1S1Cl1,0.178044938,0.11,0.14,7.334848328,3.2,6.6,DOI: 10.1039/c8nr06368k
Cr1S1Br1,0.335410197,0.15,0.3,6.140032573,3.1,5.3,DOI: 10.1039/c8nr06368k
Cr1S1I1,0.382099463,0.04,0.38,0.780320447,0.4,0.67,DOI: 10.1039/c8nr06368k
Pd1P2,12.3,NA,NA,137.7,NA,NA,DOI: 10.1039/c8tc03368d
Pd1As2,18.1,NA,NA,515.6,NA,NA,DOI: 10.1039/c8tc03368d
Cd2C1,345.1307475,5,345.0945275,244.0373596,244,4.27,DOI: 10.1039/c8tc03119c
Mo1S1Se1,158.508555,121.02,102.3675808,72.40961262,72.36,2.68,DOI: 10.1021/acs.jpcc.8b04161
Sn1P3,0.476864761,0.2,0.432897216,0.398120585,0.17,0.36,DOI: 10.1039/c8ta02494d
In1Se1,0.800187478,0.8,0.017320508,0.014142136,0.01,0.01,DOI: 10.1039/c7nr09486h
Ge1Te1,1.554220062,1.05,1.145905755,1.108602724,0.29,1.07,DOI: 10.1039/c7ta10360c
Ge1P2,26.26,NA,NA,2.49,NA,NA,DOI: 10.1039/c7ta07107h
Ge1P2,1.75755512,1.73,0.31,2.663681663,0.14,2.66,DOI: 10.1039/c7ta07107h
Mo1O3,1.610496818,1.61,0.04,0.800562302,0.8,0.03,DOI: 10.1021/acsami.6b14255
Zr2C1O2,1.102905254,0.08,1.1,2.860069929,2.3,1.7,DOI: 10.1039/c6ta04414j
Hf2C1O2,2.27371942,0.13,2.27,2.712213118,2.19,1.6,DOI: 10.1039/c6ta04414j
C1P1,3.870826785,3.87,0.08,115.1801736,115.18,0.2,DOI: 10.1039/c6nr00498a
C1P1,12.91087139,12.91,0.15,15.53402717,15.52,0.66,DOI: 10.1039/c6nr00498a
Ge1S1,4.716449936,3.68,2.95,0.167630546,0.16,0.05,DOI: 10.1039/c6tc00454g
Re1S2,0.034,NA,NA,0.033,NA,NA,DOI: 10.1038/srep13783
Ti1S3,13.90672499,1.01,13.87,1.219262072,1.21,0.15,DOI: 10.1002/anie.201502107
Ti2C1O2,0.659241989,0.61,0.25,77.44068698,74.1,22.5,DOI: 10.1039/c5nr04717j
Pd1S2,0.174642492,0.04,0.17,3.512620105,3.39,0.92,DOI: 10.1039/c5tc01345c
Ga1Ge1Te1,87.658428,40,78,0.051107729,0.044,0.026,DOI: 10.1039/c7tc03001k
B8Si4,5.360037313,5.2,1.3,0.076922038,0.034,0.069,DOI: 10.1021/acs.chemmater.1c01824
B8Ge4,4.924428901,4.8,1.1,0.131240238,0.018,0.13,DOI: 10.1021/acs.chemmater.1c01824
B8Sn4,120.0093746,120,1.5,1600.000378,1600,1.1,DOI: 10.1021/acs.chemmater.1c01824
Bi2O1S2,6.67,NA,NA,0.49,NA,NA,DOI: 10.1039/c8mh01001c
Sc2C1F2,5.142548007,5.03,1.07,0.618292002,0.483,0.386,DOI: 10.1039/c5nr08639f
Sc2C1O2H2,3.006609386,2.06,2.19,0.12488795,0.051,0.114,DOI: 10.1039/c5nr08639f
Ga1Se1,0.949766287,0.39,0.866,0.426310919,0.371,0.21,DOI: 10.1039/c8ta08103d
Mo1Si2N4,0.388973007,0.28,0.27,0.50447993,0.39,0.32,DOI:10.1039/D2NR02382B
Mo1Ge2N4,9.801555999,6.09,7.68,2.295386678,1.52,1.72,DOI:10.1039/D2NR02382B
Mo1Si2P4,2.083698635,1.37,1.57,6.128702962,5.01,3.53,DOI:10.1039/D2NR02382B
Mo1Ge2P4,3.33928136,1.62,2.92,7.68825728,6.42,4.23,DOI:10.1039/D2NR02382B
W1Si2N4,4.096742608,2.52,3.23,0.530377224,0.37,0.38,DOI:10.1039/D2NR02382B
W1Ge2N4,14.41308433,12.41,7.33,1.895046174,1.34,1.34,DOI:10.1039/D2NR02382B
W1Si2P4,8.249169655,5.18,6.42,12.22048281,10.01,7.01,DOI:10.1039/D2NR02382B
W1Ge2P4,8.756192095,5.3,6.97,10.27118786,8.78,5.33,DOI:10.1039/D2NR02382B
Cr1Si2N4,10.83617091,6.05,8.99,0.558659109,0.39,0.4,DOI:10.1039/D2NR02382B
Cr1Si2P4,1.430104891,1.06,0.96,1.427200056,0.4,1.37,DOI:10.1039/D2NR02382B
C2P4,0.48352973,0.149,0.46,2.532818391,1.913,1.66,DOI:10.1021/acsanm.2c00945
Au1Se1,10.11,NA,NA,3.350731263,0.07,3.35,DOI: 10.1039/c9nh00586b
Sb1Te1I1,0.801774282,0.739,0.311,0.274116763,0.034,0.272,DOI: 10.1063/1.5134960
Bi1Te1I1,1.36490366,1.319,0.351,0.389589528,0.102,0.376,DOI: 10.1063/1.5134960
Mo1S2,0.236190601,0.169,0.165,0.135,NA,NA,DOI:10.1142/S01291831225017042250170-1
Mo1Se2,0.154155765,0.11,0.108,0.09,NA,NA,DOI:10.1142/S01291831225017042250170-1
W1S2,0.388217722,0.277,0.272,0.379,NA,NA,DOI:10.1142/S01291831225017042250170-1
W1Se2,0.384759665,0.278,0.266,0.35,NA,NA,DOI:10.1142/S01291831225017042250170-1
Zr1Se1S1,4.144654027,1.971,3.646,0.70358013,0.495,0.5,DOI:10.1142/S01291831225017042250170-1
Hf1Se1S1,5.271772472,2.033,4.864,0.664434346,0.452,0.487,DOI:10.1142/S01291831225017042250170-1
Si1C1P4,1.534382286,1.5,0.323,173.0000423,173,0.121,DOI:10.1021/acs.jpclett.1c03708
Pb2Se2,50.79855116,35.92,35.92,7.891311678,5.58,5.58,DOI: 10.1039/c5tc00910c
Pb2S2,103.025458,72.85,72.85,3.097127702,2.19,2.19,DOI: 10.1039/c5tc00910c
